Stop_stn,Ride_time,sub
DLG_1,08:09:14,0 days 00:00:00
U_1,08:16:41,0 days 00:07:27
VO_1,08:23:21,0 days 00:14:07
DUJ_1,08:26:11,0 days 00:16:57
PW_1,08:30:12,0 days 00:20:58
CFC_1,08:31:50,0 days 00:22:36
ATU_1,08:32:55,0 days 00:23:41
BEX_1,08:33:37,0 days 00:24:23
EIS_1,08:34:29,0 days 00:25:15
BO_1,08:35:21,0 days 00:26:07
OA_1,08:36:32,0 days 00:27:18
OA_2,08:37:41,0 days 00:28:27
BO_2,08:38:47,0 days 00:29:33
BIK_1,08:39:35,0 days 00:30:21
FS_1,08:42:15,0 days 00:33:01
CHE_1,08:45:43,0 days 00:36:29
AGI_1,08:48:48,0 days 00:39:34
IM_2,08:51:27,0 days 00:42:13
CPZ_1,08:54:06,0 days 00:44:52
HC_1,08:56:03,0 days 00:46:49
DMT_1,08:57:26,0 days 00:48:12
DYP_1,08:59:08,0 days 00:49:54
DQC_1,09:00:06,0 days 00:50:52
CIT_1,09:01:27,0 days 00:52:13
EMX_1,09:02:43,0 days 00:53:29
WI_1,09:03:24,0 days 00:54:10
COF_1,09:04:36,0 days 00:55:22
CMW_1,09:05:28,0 days 00:56:14
ENO_1,09:06:46,0 days 00:57:32
DJZ_1,09:08:26,0 days 00:59:12
LG_2,09:08:34,0 days 00:59:20
CRU_1,09:15:43,0 days 01:06:29
BUSPARK,09:41:59,0 days 00:56:27
ARW_1,18:09:00,0 days 00:25:02
EVD_1,18:10:00,0 days 00:24:20
AKQ_1,18:30:43,0 days 00:47:03
